COUNT,House Amount (in thousands),Senate Amount (in thousands),Final Amount (in thousands),Program Increase,Floor Amendment,Sponsor(s),Airdrop,Zero to Hero,Unfunded Priority,Program Element,Service Subsection,Bill Subsection,Bill Section,Proposed Funding Offset
,"$5,000",$0,$0,to develop an alternate domestic source AC-130J Infrared Suppression System -- AC-130J Infrared Suppression is currently an operational need as specified in the 2023 report to Congress while the non-US hardware source has faced programmatic delays and technical challenges posing operational risk and strategic concern,138.0,"Mills (FL), McCormick (GA)",No,Yes,No,,,Defense Wide,RDT&E,"RDT&E, Defense Wide"
,"$5,000",$0,"$2,500",Combating Terrorism Technology Support,136.0,Hudson (NC),No,No,No,Combating Terrorism Technology Support,,Defense Wide,RDT&E,"RDT&E, Defense Wide"
,"$6,500",$0,$0,to support Additive Manufacturing Microelectronics Protection,135.0,"Houchin (IN), Blunt Rochester (DE)",No,Yes,No,,,Defense Wide,RDT&E,"RDT&E, Defense Wide"
,"$5,000",$0,"$5,000",for the rapid prototyping and fielding of unmanned surface vessels with advanced autonomous capabilities that are able to launch and recover from Naval Special Warfare Combatant Craft / autonomous unmanned surface vessels,134.0,Ellzey (TX),No,Yes,No,Maritime Systems,,Defense Wide,RDT&E,"RDT&E, Defense Wide"
,"$10,000",$0,$0,for Resilient Manufacturing Ecosystem,133.0,"Deluzio (PA), Kelly (PA)",No,Yes,No,Industrial Base Analysis and Sustainment Support,,Defense Wide,RDT&E,"RDT&E, Defense Wide"
,"$8,000",$0,$0,"to conduct extensive R&D, testing, and evaluating as well as developing use cases and establishing TTPs of unmanned ground systems",132.0,David (NC),No,Yes,No,,,Defense Wide,RDT&E,"RDT&E, Defense Wide"
,"$20,000",$0,$0,"so that the Department of Defense may utilize appropriations types to procure commercial cloud services aligned to the activity supported by those commercial services -- Programs may utilize either Research and Development (R&D) funding to develop new capabilities, or Operations and Maintenance (O&M) to procure commercial cloud services for relevant sustainment activities within their respective program",131.0,Carey (OH),No,Yes,No,,,Defense Wide,RDT&E,"RDT&E, Defense Wide"
,"$1,000",$0,$0,to combat future military training accidents and research ways to prevent them,130.0,"Buchanan (FL), Garamendi (CA)",No,Yes,No,,,Defense Wide,RDT&E,"RDT&E, Defense Wide"
,"$5,000",$0,$0,to emphasize the Industrial base Analysis and Sustainment Support account for M-shaped hull manufacturing workforce development program,129.0,Huizenga (MI),No,Yes,No,Industrial base Analysis and Sustainment Support,,Defense Wide,RDT&E,"RDT&E, Defense Wide"
,"$10,000",$0,$0,for Single-Stage-to-Orbit Propulsion Research,128.0,Norton (DC),No,Yes,No,Rocket Systems Launch Program (Space),,Space Force,RDT&E,"RDT&E, Space Force"
,"$3,000",$0,$0,for the purpose of supporting state-of-art simulation capability for training future Critical Care Air Transport (CCAT) teams,127.0,"Wenstrup (OH), Landsman (OH), Turner (OH)",No,Yes,No,,,Air Force,RDT&E,"RDT&E, Air Force"
,"$44,000",$0,"$5,000",for the non-recurring engineering costs associated with converting a C-130J into an LC-130J with skis / non-recurring engineering for polar airlift,126.0,"Tenney (NY), Tonko (NY), Morelle (NY)",No,Yes,No,C-130J Program,,Air Force,RDT&E,"RDT&E, Air Force"
,"$5,000",$0,"$2,000","for zero-trust environment for semiconductor technology, for the Air Force Research Lab trusted microchip manufacturing prototype program / zero-trust environment for semiconductor technology",125.0,Soto (FL),No,Yes,No,Aerospace Sensors,,Air Force,RDT&E,"RDT&E, Air Force"
,"$10,000",$0,$0,to support the Business Enterprise Systems Product Innovation (BESPIN),124.0,"Sewell (AL), Waltz (FL)",No,No,No,,,Air Force,RDT&E,"O&M, Defense Wide"
,"$5,000",$0,$0,Air Force RDT&E,123.0,Pettersen (CO),No,No,No,,,Air Force,RDT&E,"Defense Working Capital Fund, Revolving and Management Funds"
,"$10,000",$0,"$12,500",for Air Force Global Strike Command Technology Transition and Innovation / Global Strike Command technology transition and innovation,122.0,Letlow (LA),No,No,No,Requirements Analysis and Maturation,,Air Force,RDT&E,"RDT&E, Air Force"
,"$5,000",$0,"$5,000",to support Liquid Engine for Hypersonic Testing initiatives / liquid engine for hypersonic testing initiatives,121.0,Lamborn (CO),No,Yes,No,Aerospace Propulsion and Power Technology,,Air Force,RDT&E,"Operational Test and Evaluation, Defense Wide"
,"$3,000",$0,"$3,000",alloy additive manufacturing,120.0,Joyce (OH),No,Yes,No,Manufacturing Technology Program,,Air Force,RDT&E,"RDT&E, Air Force"
,"$7,000",$0,"$7,000",for the development of a cognitive EW machine learning/neuromorphic processing device to counter AI-enabled adaptive threats / cognitive electronic warfare machine learning,119.0,"Carey (OH), Craig (MN), Turner (OH)",No,Yes,No,Multi-Platform Electronic Warfare Equipment,,Air Force,RDT&E,"RDT&E, Air Force"
,"$4,500",$0,$0,"Materials for Electronics, Optics, and Survivability",118.0,Bilirakis (FL),No,No,No,Materials,,Air Force,RDT&E,"RDT&E, Air Force"
,"$4,000",$0,"$4,000","to establish a Digital Component Certification Center to inspect digital components, such as microchips, from foreign sources for inclusion in US vessels, vehicles, aircrafts, and weapons systems / digital component certification center",117.0,Smith (NJ),No,Yes,No,Carrier Systems Development,,Navy,RDT&E,"Defense Working Capital Fund, Revolving and Management Funds"
,"$5,000",$0,$0,for Heterogeneous Photonic Integrated Circuit (HPIC) technology -- This research supports advanced single-chip radio frequency (RF) processing to develop signal intelligence systems and future electronic warfare,116.0,"Self (TX), Pfluger (TX)",No,Yes,No,,,Navy,RDT&E,"Defense Working Capital Fund, Revolving and Management Funds"
,"$8,500",$0,$0,Digital Modular Radio to support the Hybrid Open Transceiver new Advanced Integrated Line-of-sight Equipment System,115.0,Peters (CA),No,No,No,Joint Tactical Radio System - Navy (JTRS-Navy),,Navy,RDT&E,"RDT&E, Navy"
,"$8,000",$0,"$2,500","for the ""Software Radio for Weapons and Autonomous Vehicle Enablement (SR-WAVE)"" to enable the Navy to evaluate and demonstrate advanced emerging software radio technology / Software Radio for Weapons and Autonomous Vehicle Enablement",114.0,Peters (CA),No,No,No,Digital Warfare Office,,Navy,RDT&E,"RDT&E, Navy"
,"$5,500",$0,$0,for the purposes of increasing Surface Mine Countermeasure Technology Insertion Competition,113.0,LaLota (NY),No,Yes,No,Surface Mine Countermeasures,,Navy,RDT&E,"RDT&E, Navy"
,"$7,000",$0,$0,Naval Integrated Fire Control â€“ Counter Air Systems Engineering for the Stratospheric Balloon Research Program,112.0,Johnson (SD),No,Yes,No,Nav Integrated Fire Control - Counter Air Sys E,,Navy,RDT&E,"RDT&E, Navy"
,"$6,500","$6,500","$6,500",Cyber supply chain risk management,111.0,Franklin (FL),No,No,No,Information Technology Development,,Navy,RDT&E,"RDT&E, Defense Wide"
,"$10,000",$0,$0,for critical and emerging technologies,110.0,Franklin (FL),No,No,No,,,Navy,RDT&E,"RDT&E, Navy"
,"$4,000",$0,$0,"to enhance optoelectronic technology research -- This research supports the increasing need for lightweight, low-cost, and durable expeditionary power sources for warfighters to power their electronic equipment when deployed",109.0,Ezell (MS),No,Yes,No,,,Navy,RDT&E,"Defense Working Capital Fund, Revolving and Management Funds"
,"$5,000",$0,$0,to enable expansion of terrain capabilities and power management of Q-UGVs to enhance the individual warfighter and reduce the cognitive load,108.0,Wilson (SC),No,Yes,No,,,Army,RDT&E,"RDT&E, Army"
,"$15,000",$0,"$4,000",for the integration and demonstration of Quadruped Unmanned Ground Vehicles / quadrupled unmanned ground vehicles,107.0,Scanlon (PA),No,Yes,No,Ground Technology,,Army,RDT&E,"RDT&E, Army"
,"$100,000",$0,$0,Defense Wide RDT&E,106.0,Moylan (GU),No,No,No,,,Defense Wide,RDT&E,"RDT&E, Defense Wide"
,"$5,600",$0,$0,to emphasize the need to protect and expand our domestic capacity to manufacture and develop organic LED micro displays,105.0,Morelle (NY),No,Yes,No,,,Army,RDT&E,"RDT&E, Army"
,"$5,000",$0,"$5,000",highlighting Congress' intent for continued support of the Advanced Air Mobility industry / advanced air mobility,104.0,Molinaro (NY),No,Yes,No,Future Vertical Lift Advanced Technology,,Army,RDT&E,"Army, RDT&E"
,"$3,000",$0,$0,for the development of advanced ultra-high-molecularweight polyethylene (UHMWP) to decrease armor application weight and increase material performance,103.0,"Mills (FL), McClellan (VA), Joyce (OH)",No,Yes,No,Soldier Lethality Advanced Technology,,Army,RDT&E,"RDT&E, Army"
,"$7,000",$0,$0,in-house and single source awarded funding for applied research into source characterization and recovery of Rare Earth Element domestic reserves,102.0,Miller (WV),No,Yes,No,,,Army,RDT&E,"RDT&E, Army"
,"$8,400",$0,$0,"for Micro-LED Soldier System Display Prototype to support the design, development, and delivery of the U.S. Army’s next generation full-color LED micro-display prototype, specifically tailored for dismounted soldier applications",101.0,"McGovern (MA), Fitzpatrick (PA)",No,Yes,No,Night Vision Systems Advanced Development,,Army,RDT&E,"RDT&E, Army"
,"$8,000","$4,000","$4,000",for RNA Therapeutics for Infectious Disease Threats to advance Investigational New Drug (IND) applications for customized RNAs to treat hemorrhagic fever viruses / RNA theraputics for infectious disease threats,100.0,McGovern (MA),No,Yes,No,Medical Technology,,Army,RDT&E,
