COUNT,House Amount (in thousands),Senate Amount (in thousands),Full-Year CR Amount (in thousands),Program Increase,Amendment,Sponsor(s),Airdrop,Zero to Hero,Unfunded Priority,Emergency Funding (Senate),Program Element,Service Subsection,Bill Subsection,Bill Section,Proposed Funding Offset
,,"$ 143,524",,Fighter Force reoptimization (emergency),,,,No,Air Force,Yes,Aircraft Replacement Support Equip,"Aircraft Procurement, Air Force",Air Force,Procurement,
,,"$ 200,000",,Additional LC-130J aircraft and parts (emergency),,,,No,,Yes,C-130J,"Aircraft Procurement, Air Force",Air Force,Procurement,
,"$ 261,000","$ 1,050,000","$ 411,600",Two additional aircraft for the Air National Guard / Eight additional aircraft for the Air National Guard / Additional Aircraft for the Air National Guard,,,,No,,,C-130J,"Aircraft Procurement, Air Force",Air Force,Procurement,
,"$ 10,000",,,Air National Guard C-130J enhanced flight vision system,,,,Yes,,,C-130J Mods,"Aircraft Procurement, Air Force",Air Force,Procurement,
,,"$ 10,000",,Airlift tanker open mission systems,,,,Yes,,,C-17A,"Aircraft Procurement, Air Force",Air Force,Procurement,
,"$ 11,914","$ 11,914","$ 11,914",Program increase,,,,No,,,Civil Air Patrol A/C,"Aircraft Procurement, Air Force",Air Force,Procurement,
,"$ 120,000","$ 200,000","$ 200,000",Two additional aircraft / Program increase,,,,No,,,Combat Rescue Helicopter,"Aircraft Procurement, Air Force",Air Force,Procurement,
,"$ 400,000",,"$ 200,000",E-7 delivery acceleration / E-7 long lead materials,,,,Yes,,,E-7,"Aircraft Procurement, Air Force",Air Force,Procurement,
,,"$ 164,022",,F-15E divsetment prohibition (emergency),,,,No,,Yes,F-15,"Aircraft Procurement, Air Force",Air Force,Procurement,
,,"$ 600,000",,Six additional aircraft (emergency),,,,No,National Guard Bureau,Yes,F-15EX,"Aircraft Procurement, Air Force",Air Force,Procurement,
,,"$ 50,000","$ 50,000",F-16 simulators for the Air National Guard,,,,No,,,F-16,"Aircraft Procurement, Air Force",Air Force,Procurement,
,"$ 30,000",,,Simplified planning execution and analysis,,,,Yes,,,F-16,"Aircraft Procurement, Air Force",Air Force,Procurement,
,"$ 2,000",,"$ 2,000",F-35 Toolbox,,,,No,,,F-35,"Aircraft Procurement, Air Force",Air Force,Procurement,
,"$ 195,960",,"$ 195,960",Two additional F-35A aircraft,,,,No,National Guard Bureau,,F-35,"Aircraft Procurement, Air Force",Air Force,Procurement,
,"$ 118,000","$ 69,000","$ 69,000",F100 Air National Guard engines for F-16 / F-100 ANG engines for F-16,,,,Yes,,,Initial Spares/Repair Parts,"Aircraft Procurement, Air Force",Air Force,Procurement,
,,"$ 433,275",,Fighter Force reoptimization (emergency),,,,No,Air Force,Yes,Initial Spares/Repair Parts,"Aircraft Procurement, Air Force",Air Force,Procurement,
,,"$ 100,000",,Spares and repair parts,,,,No,,,Initial Spares/Repair Parts,"Aircraft Procurement, Air Force",Air Force,Procurement,
,"$ 580,000","$ 600,000","$ 566,463",Classified adjustment / Classified adjustment (emergency),,,,No,,Yes,Other Production Charges,"Aircraft Procurement, Air Force",Air Force,Procurement,
